text,label,split
Tobacco Blend,question,train
Filter Production,question,train
Making & Packing,question,train
Manufacturing - A. Kraus,answer,train
"Product Development, John H. M. Bohlker",answer,train
Written by,question,train
Original to,question,train
Copies to,question,train
John H. M. Bohlken,answer,train
"Mr. C. L. Tucker, Jr.",answer,train
Dr. A. W. Spears,answer,train
NAME,question,train
Strokes,question,train
NAME,question,train
A,other,train
<>,question,train
<>,question,train
SPORTS REGISTRATION,header,train
"37TH ANNUAL MEETING AUGUST 15-18, 1996 RYE- TOWN HILTON HOTEL RYE, NEW YORK",other,train
Make copies of this form if necessary. Complete applicable section (s) and return to NYSAWMD.,other,train
LORILLARD TOBACCO COMPANY,header,train
GOLF TOURNAMENT,question,train
"(Ladies & Men) . . . Friday, August 16, Tee off at 8:00 A. M. SHARP (no green fee)",answer,train
I will participate in the Golf Tournament,question,train
My handicap is:,question,train
FIRM NAME,question,train
BROWN & WILLIAMSON TOBACCO CORPORATION,header,train
TENNIS TOURNAMENT,question,train
"(Ladies & Men) . . . Friday, August 16, starting time is 3:00 P. M.",answer,train
I will participate in the Tennis Tournament I would classify myself as (please check appropriate box),question,train
<> Beginner,question,train
<> Fair,question,train
<> Good,question,train
<> Excellent,question,train
FIRM NAME,question,train
"NYSAWMD, INC. 211 EAST 43RD STREET, NEW YORK, NY 10017-4707",question,train
CONVFORM.96 ,other,train
5,answer,train
0,answer,train
2,answer,train
A,other,train
KOOL & GPC GOLF BAG SURVEY,header,train
Section Number,question,train
Section Sales Manager's Name,question,train
Peter Hatch,answer,train
Please place the following order for KOOL and/ or GPC Golf Bags for my Section:,question,train
KOOL Golf Bags,answer,train
GPC Golf Bags,answer,train
Send the completed survey to Linda Daniels in Field Supply via fax (502- 568- 7189) OR CC: Mail no later than June 7.,other,train
0022A wk4,other,train
Brand:,question,train
Power:,question,train
Pulse:,question,train
Modules:,question,train
Scorching:,question,train
Cratering:,question,train
Comments:,question,train
Scorching:,question,train
Cratering,question,train
Comments:,question,train
Module:,question,train
Brand:,question,train
Pulse:,question,train
Scorching:,question,train
Cratering:,question,train
Comments:,question,train
Scorching:,question,train
Cratering:,question,train
Comments:,question,train
Power:,question,train
412,answer,train
Insignificant.,answer,train
Insignificant.,answer,train
Week of:,question,train
P. S.,question,train
73 -91,answer,train
Date Received,question,train
1 /25 /91,answer,train
"LASER PERFORATED TIPPING APPEARANCE CHECK HOLE DEPTH, SCORCHING, CRATERING",header,train
Shift & Date:,question,train
CARLTON Filter 100's - 4 Mg Laser,answer,train
Mfg. for Taiwan,answer,train
FRONT CIGARETTES,header,train
<1 mm 13 .0 mm from end,answer,train
None to insignificant.,answer,train
Excellent appearance (18 holes).,answer,train
Hole Depth:,question,train
Hole Depth:,question,train
<1 mm 13 .0 mm from end,answer,train
BACK CIGARETTES,header,train
None to insignificant.,answer,train
Excellent appearance (18 holes).,answer,train
Shift & Date:,question,train
FRONT CIGARETTES,header,train
Hole Depth:,question,train
BACK CIGARETTES,header,train
Hole Depth:,question,train
ATXO2 0062194,other,train
DATE,question,train
PMRM,answer,train
Cigarette,question,train
dimensions:,question,train
ference.,answer,train
cc:,question,train
RSS,answer,train
RDC,answer,train
PHL,answer,train
PRC,answer,train
BMC,answer,train
Records,answer,train
PROJECT INITIATION FORM,header,train
PROJECT CODE,question,train
PROJECT NAME,question,train
PROJECT LEADER,question,train
WORK REQUESTED BY,question,train
PROJECT OBJECTIVE,question,train
OTHER PERSONNEL ASSIGNED,question,train
"April 30, 1985",answer,train
PALL MALL Regular Menthol,answer,train
J. F. Anders,answer,train
"R. S. Sprinkle, III",answer,train
"To develop a nonfilter menthol cigarette delivering 21- 24 mg ""tar"" as a menthol companion to PALL MALL Famous Cigarettes.",answer,train
84 x 24.9 mm circum-,answer,train
E. P. Barbee,answer,train
Approved by,question,train
Other Personnel Assigned,answer,train
Project Leader,answer,train
ATX02 0226607,other,train
R. S. Sprinkle III,answer,train
Facility:,question,train
Permit#:,question,train
DESCRIPTION:,question,train
CAS#,question,train
MANUFACTURER:,question,train
No,question,train
Inorganic,question,train
PHONE,question,train
Other,question,train
Organic,answer,train
Yes,answer,train
74880,answer,train
6240,answer,train
0001,answer,train
CITY OF REIDSVILLE CHEMICAL MANAGEMENT PLAN 1993 INVENTORY CHEMICAL USAGE FACT SHEET,header,train
"Process Chemicals Used in Excess of 100 Pounds/ Day, Water Treatment Chemicals, Cleaning Compounds",other,train
The American Tobacco Company,answer,train
CHEMICAL DESCRIPTION,header,train
PRODUCT (CHEMICAL) NAME:,question,train
Fuller G2315 DC,answer,train
Liquid Adhesive,answer,train
PRODUCT CLASSIFICATION (Circle Dne):,question,train
CHEMICAL FORMULA:,question,train
Vinyl Acetate,answer,train
PERCENT ACTIVES (Non -water):,question,train
.5%,answer,train
,answer,train
H. B. Fuller Company,answer,train
108 -05 -4,answer,train
MSDS ON FILE? (Circle One):,question,train
CHEMICAL USAGE,header,train
1993 ANNUAL USAGE (LBS.):,question,train
1993 AVG. MONTHLY USAGE (LBS.),question,train
APPLICATION (Circle One and Briefly Describe):,question,train
Producion Process,question,train
label adhesive,answer,train
Water Treatment:,question,train
Housekeeping Cleaning,question,train
ATXO2 0132045,other,train
Supplier:,question,train
APPROVED,question,train
Tester,question,train
Manager,question,train
TEST ADHESIVE EVALUATION,header,train
Adhesive Code:,question,train
"Application: tipping, carton end flaps, etc.)",question,train
Test Period:,question,train
NOT APPROVED,question,train
If not approved state reasons.,other,train
Quality Control,question,train
Local Purchasing,question,train
"Complete and return to D. R. Brickey, Department of Research and Development, as soon as possible.",other,train
ATXO2 0083035,other,train
Brand(s),question,train
Company,question,train
DATE,question,train
SIGNATURE,question,train
NAME,question,train
Originator,question,train
Manager,question,train
DATE,question,train
SECTION(S),question,train
SIGNATURE,question,train
PAGE(S),question,train
Insurance,question,train
Law,question,train
1-11-94,answer,train
SME,answer,train
SPORTS MARKETING ENTERPRISES DOCUMENT CLEARANCE SHEET,header,train
"January 11, 1994",answer,train
Date Routed:,question,train
Contract No.,question,train
4011 00 00,answer,train
Joe's Place Exhibits,answer,train
Contract Subject:,question,train
"SPEVCO, INC.",answer,train
Camel/ Winston,answer,train
Current Year Cost,question,train
Total Contract Cost,question,train
"$ 1,340,000.00",answer,train
1994-1995,answer,train
Brief Description,question,train
"2 Joe's Place Exhibits for use at Winston Cup, Winston Drag and Camel Super Bike Events.",answer,train
G/ L Code:,question,train
Program Budget Code,question,train
Michael Wright,answer,train
John Powell,answer,train
B J. Powell,answer,train
REVIEW ROUTING,question,train
FS - Marketing,question,train
"* UP TO AND INCLUDING $ 25,000 ** OVER $ 25,000",other,train
Revised 10/26/92,other,train
13 Plaza,answer,train
51669 8130,other,train
REVISIONS TO SHELL (Other than Term Compensation or Job,question,train
APPROVAL ROUTING,question,train
* Sr. Manager (B. J. Powell),question,train
* Director - (G. L. Littell),question,train
** Sr. VP T. W. Robertson,question,train
Return To:,question,train
MARY SEAGRAVES Ext 1485,answer,train
TO:,question,train
From:,question,train
Contribution,question,train
Requested,question,train
by,question,train
1976,question,train
☑,answer,train
Message,question,train
,answer,train
Mr. G. J. Schramm,answer,train
Mr. W. P. Myhan,answer,train
Mr. F. X. Whelan,answer,train
Mr. R. H. Stinnette,answer,train
Mr. J. B. McCarthy,answer,train
E. E. Curtin,answer,train
Request for contribution or membership to be considered by contributions Committee at next meeting,other,train
☐ Membership,question,train
"Harvard Medical School and Dr. Gary Huber Boston, Massachusetts",answer,train
Letter 8/ 1/ 76,answer,train
"For American Brands, Inc.",question,train
Recent actions regarding above solicitor ,question,train
"1976 $ 40, 921. 30 by A. B., Inc.",answer,train
"1975 84, 309. 94 A. B., Inc.",answer,train
"1974 92, 131. 29 A. B., Inc.",answer,train
"1973 91, 630. 53 A. B., Inc.",answer,train
Remarks -,question,train
Payment -,question,train
"For confirmation by the Committee. Check for $ 43, 910. 30 representing the ninth semi- annual installment to the Harvard Project transmitted August 1976.",answer,train
Decision of Committee on Present Request -,question,train
Pay - $,question,train
Declined - Send letter,question,train
YES NO,answer,train
Consideration deferred until,question,train
Committee meeting ,question,train
8/ 26,answer,train
DATE,question,train
DESCRIPTION,question,train
MEDIUM,question,train
3/17/82,answer,train
Outdoor,answer,train
AGENCY,question,train
BRAND,question,train
NO.,question,train
April,answer,train
THRU,answer,train
July,answer,train
SPACE,question,train
CONTINGENCY,question,train
"1,680",question,train
2.000.00,answer,train
TOTAL,question,train
APPROVALS,header,train
Agency,question,train
Product,question,train
Media,question,train
Sales,question,train
Marketing,question,train
Executive,question,train
Accounting,question,train
REMARKS:,question,train
ADVERTISING AND SELLING AUTHORIZATION,header,train
NYO 09 (10-81),other,train
"The American Tobacco Company DIVISION OF AMERICAN BRANDS INC. 265 PARK AVENUE, NEW YORK, NEW YORK 00267",header,train
DO NOT MAKE ANY COMMITMENT OR AUTHORIZE ANY EXPENDITURE OF ANY KIND FOR. ACCOUNT OF THIS COMPANY UNTIL EXECUTIVE APPROVAL HAS BEEN OBTAINED HEREON.,other,train
corporate Media Department,answer,train
30 sheet Posters (White Background),answer,train
LUCKY STRIKE LOW Tar Filters Box- 100%,answer,train
PERIOD. FROM,question,train
"ENTER ESTIMATES OF AMOUNTS TO BE EXPENDED BY MONTHS UNDER ""REMARKS"" OR ON ATTACHMENT. MAXIMUM EXPENDITURES AUTHORIZED",other,train
"1,600 posters plus 5% overrun (80) $ 16.00 each",other,train
"$ 26,880,00",answer,train
"$ 28,880.00",answer,train
"For posting in Cincinnati, Covington and Tampa/St. Petersburg.",answer,train
"Posters are captioned for identification, ""LUCKY STRIKES AGAIN (printed in red) with the word ""New"" printed in a snipe effect in the upper left corner. These posters have a white background and will be further identified as such in order to differentiate from a second design which will have a solid red background with white lettering.",answer,train
Posters are printed six colors (four color process and two impressions of red) on white 70# outdoor poster paper.,answer,train
Budget Allocation,question,train
Authorization No.,question,train
M- 49,answer,train
L- 3a,answer,train
Estimated Freight Charges,question,train
DISPLAY MATERIAL,question,train
MECHANICAL PRODUCTION,question,train
ART WORK,question,train
AIR TIME,question,train
30 Sheet Posters ,question,train
LOCATION,question,train
REQUISITIONER,question,train
SUPPLIER,question,train
,question,train
TERMS,question,train
FO,question,train
QUANTITY,question,train
DESCRIPTION,question,train
PRICE,question,train
Attn:,question,train
DATE,question,train
DATE,question,train
DATE,question,train
BY,question,train
DATE,question,train
OTHER,question,train
M14789,answer,train
☑,answer,train
BUYER,question,train
DATE,question,train
APPROVAL,other,train
,other,train
THE AMERICAN TOBACCO COMPANY,header,train
PURCHASE REQUISITION,header,train
AT 135 ,other,train
"STAMFORD, CT",answer,train
AUTHORIZATION NO.,question,train
BUDGET NO.,question,train
Mr. G. Schumacher,answer,train
"January 3, 1995",answer,train
DATE OF REQUISITION,question,train
WEBCRAFT TECHNOLOGIES INC,answer,train
Mr. Steven Katz,answer,train
"Route 4 and Adams Station North Brunswick, NJ 08901- 0623",answer,train
NO SHIPPING REQUIRED,answer,train
SHIP TO,question,train
SHIPMENT TO ARRIVE NOT LATER THAN,question,train
NO SHIPPING REQUIRED.,answer,train
NET 30 Days,answer,train
"CARLTON ""Free"" Carton"" Direct Mail Piece",answer,train
This Purchase order is to cover all costs incurred to- date listed below.,answer,train
"42,000 lbs. of 80 lb Sterling C/ 2/ S - 36- 1/ 2"" roll",answer,train
"31,000 lbs. of 80 lb. Sterling C/ 2/ S - 26- 1/ 2"" roll",answer,train
"Prep. (line negatives, paper prints, camera/ stripping)",answer,train
Federal Express charges,answer,train
ALL MATERIALS HAVE BEEN CANCELLED.,answer,train
Charges to 1 /4 /95,other,train
"$20, 580. 00",answer,train
"$15, 190. 00",answer,train
$431 .25,answer,train
$48 .75,answer,train
DEPARTMENT CHARGED,question,train
ACCOUNTING CHARGE NO.,question,train
EXTRA COPIES TO:,question,train
D. Barcia,answer,train
Adv. Expense,answer,train
Brand Operations,answer,train
STATE TAX STATUS,header,train
NOT TO BE CHARGED BY SUPPLIER,question,train
☐ TO BE CHARGED,question,train
LOCAL APPROVAL,question,train
ADMIN CTR/MGMT CTR. (AS REQUIRED),question,train
LOCAL P/ORELEASE NO.,question,train
ADMIN CTR/MGMT CTR PURCHASE ORDER NO.,question,train
"January 3, 1995",answer,train
M. Stock/ smm ,answer,train
02/04/91,other,train
DATE,question,train
DESCRIPTION,question,train
MEDIUM,question,train
SALES,question,train
BRAND,question,train
ORIGINATOR,question,train
THRU,other,train
REMARKS,header,train
LABELS,other,train
DECALS,other,train
MOBILES,other,train
"35,000.00",other,train
APPROVALS,header,train
JAN,question,train
FEB,question,train
MAR,question,train
Agency,question,train
Forecasting,question,train
Marketing,question,train
Sales,question,train
Sales,question,train
President,question,train
5060,answer,train
Yr.,other,train
91,other,train
THE AMERICAN TOBACCO COMPANY,header,train
SIX STAMFORD FORUM P. O. BOX 10380 STAMFORD CONNECTICUT 06904- 2380,other,train
AT [1- 89),other,train
ADVERTISING AND SELLING AUTHORIZATION,other,train
"DO NOT MAKE ANY COMMITMENT OR AUTHORIZE ANY EXPENDITURE OF ANY KIND FOR ACCOUNT OF THIS COMPANY UNTIL EXECUTIVE APPROVAL HAS BEEN OBTAINED HEREON (BE GUIDED BY PPM 60,020 IN COMPLETING THIS FORM)",other,train
BULL DURHAM Filter Box,answer,train
BULL DURHAM Lights BOX,answer,train
JOB NO,question,train
COLLATERAL MERCHANDISING MATERIALS,answer,train
PERIOD - FROM,other,train
01/ 91,other,train
03/ 91,other,train
To cover the cost of collateral merchandising materials to be used in 1991 in connection with the merchandising and promotion of BULL DURHAM.,question,train
These costs will include but are not exclusive to the the following materials:,question,train
CARTON END PANELS,other,train
SCORED CARTONS,other,train
SHELF DANGLERS,other,train
SIDING INDOOR TALKERS,other,train
PACKAGE I. D. STRIPS,other,train
POSTERS (LARGE WINDOW),other,train
LIGHT THIEF,other,train
JUMBO PACKS,other,train
TOTALS $,question,train
ACCOUNTING DISTRIBUTION,header,train
V. P. - Marketing,question,train
Chairman/ CEO,question,train
$ 10.000.,answer,train
$ 10.000.,answer,train
"$ 15,000.",answer,train
Account Code,question,train
Budget Code,question,train
Auth No.,question,train
10- 320,answer,train
Attention:,question,train
"MARDEN- KANE. INC. 666 FIFTH AVE. NEW YORK, N.Y. 10103 (212) 582-6600",header,train
TRAVEL INFORMATION SHEET,header,train
"This information will be used by Marden- Kane in making travel arrangements for your round- trip to Los Angeles, California.",other,train
Finalist Name:,question,train
Home Address:,question,train
Home Telephone:,question,train
Business Telephone:,question,train
Name of Guests,question,train
Relationship to Finalist:,question,train
Major Airport Nearest your home:,question,train
Distance from your home to airport:,question,train
Do you prefer airline seats in smoking or non- smoking section:,question,train
Any special dietary meal and/ you or your guest would prefer,question,train
RETURN TO:,question,train
"Harden- Kane, Inc. 666 Fifth Avenue New York, N. Y. 10103",answer,train
Ms. L. Sobel,answer,train
Weight,question,train
Draw,question,train
Tar,question,train
Nicotine,question,train
0,answer,train
5,answer,train
7,answer,train
12,answer,train
23,answer,train
0,answer,train
1,answer,train
0,answer,train
11,answer,train
5,answer,train
4,answer,train
4,answer,train
23,answer,train
1,answer,train
0,answer,train
0,answer,train
Basic,answer,train
Basic,answer,train
Basic,answer,train
80620665,other,train
Characteristic Tested,question,train
BETWEEN THE ACTS 25 %% mm. Butt,header,train
MADISON 25 mm. Butt,header,train
Smoke Analysis,answer,train
Present Sample,question,train
Mean of Last 12 Samples,question,train
Present Sample,question,train
Mean of Last 12 Samples,question,train
1 .089,answer,train
0. .34,answer,train
39. .7,answer,train
4 .26,answer,train
ction to Litmus,question,train
1 .106,answer,train
0 .37,answer,train
35 .6,answer,train
3 .83,answer,train
1 .111,answer,train
0 .34,answer,train
37 .8,answer,train
3 .45,answer,train
Basic,answer,train
1 .132,answer,train
0 .37,answer,train
31 .0,answer,train
2 2.99,answer,train
urn Test,answer,train
Static -Complete Cigar,question,train
-1 /2 Cigar,question,train
-1 /3 Cigar,question,train
-Went out immediately,question,train
Dynamic -Time in seconds,answer,train
-% Burned Completely,answer,train
SOC- 36,other,train
"P. LORILLARD CO. , INC. RESEARCH DIVISION QUALITY CONTROL DEPARTMENT SMOKE ANALYSIS AND BURNING TEST REPORT WEEKLY PRODUCTION LITTLE CIGARS NON FILTERS WEEK ENDING 11/ 25 /66",header,train
SIGNED,question,train
DATE,question,train
TOTAL:,question,train
,other,train
CLIENT,question,train
PROGRAM,question,train
STATIONS,question,train
,question,train
RS#39,other,train
RS,other,train
Accounting,other,train
"Batten, Barton, Durstine & Osborn INCORPORATED CHANGE IN RADIO SCHEDULE",header,train
WHAS 11/3/56 10/26/57,other,train
THE AMERICAN TOBACCO COMPANY (LUCKY STRIKE),answer,train
1/2 HOUR PROGRAMES,answer,train
"WHAS LOUISVILLE, KENTUCKY",answer,train
CONTRACT #1032,answer,train
"ENTIRE SCHEDULE CANCELLED LAST BROADCAST SATURDAY, APRIL 13, 1957",other,train
REVISED CONTRACT TOTALS.,question,train
24 @ $ 150.00 TIME,answer,train
24 @ $ 125.00 NET TALENT,answer,train
$ 6.600.00,answer,train
"APRIL 1,1957",answer,train
HOPE MARTINEZ,answer,train
Form No. RA 905,other,train
"GEN'L ACCT DEPT. APTEKICKSER MURIEL, KAMNIT PRE MALARA (2) HOPE MARTINEZ",other,train
M. BOGGIANO Director) FRANK TOWERS,other,train
DATE:,question,train
FROM:,question,train
TO:,question,train
ADDRESS:,question,train
Telephone,question,train
Telefax,question,train
Re.:,question,train
2463,answer,train
2505430204,other,train
27/94,other,train
Contract,header,train
Research,header,train
INBIFO,header,train
INBIFO Institut für biologische Forschung GmbH,question,train
TELEFAX MESSAGE No.:,question,train
INBIFO bioloische Forschnung GmbH Fuggesstr 3- D- 51149 Cologne,other,train
28 Apr. 98,answer,train
Dr. Wolf Reininghaus,answer,train
"Dr. Don Leyden, Dept. Scientific Affairs",answer,train
98 -04 -28 12: 05 OUT,other,train
Philip Morris Europe Fabriques de Tabac Reunies S. A.,answer,train
CH- 2003 Neuchatel,answer,train
0041- 32- 888 5776,answer,train
Fax no:,question,train
Telefax- Original Ablage,other,train
NUMBER OF FOLLOWING PAGES,question,train
21 ,answer,train
TPM/ Nocotine ratio,answer,train
For your information!,other,train
Cologne HRB 367,answer,train
Dr. Wolf Reninghaus,answer,train
General Manager,question,train
Trade Register,question,train
(0 22 03) 303 -1,answer,train
(0 22 03) 303 -362,answer,train
-/BVI DLEY FAX,other,train
Description,question,train
Displays,answer,train
BRANDS,question,train
Adjustment,question,train
Carlton,answer,train
Amount,question,train
Displays,answer,train
"31,000.00",answer,train
"(31,000.00)",answer,train
Distribution:,question,train
,answer,train
5/5,answer,train
,answer,train
0.00,other,train
Date,question,train
Date,question,train
Date,question,train
Date,question,train
THE AMERICAN TOBACCO COMPANY,header,train
APPROVED MARKETING PROJECT EXPENSE RECOMMENDATION,header,train
S0002 Supp 2,answer,train
Private Stock,answer,train
Current Budget,question,train
"$ 7,569,000.00",answer,train
Revised Budget,question,train
"$ 7,569,000.00",answer,train
$ 0.00,answer,train
CAR- MMT- DSP,answer,train
PRV- MMT- DSP,answer,train
Prepared By:,question,train
Approved By:,question,train
Approved By:,question,train
Prepared By:,question,train
,answer,train
Accounting File,question,train
Project No,question,train
Offer Description,question,train
Charge Code,question,train
CONTRACT:,question,train
CLIENT:,question,train
MARKET:,question,train
9,answer,train
45,answer,train
54,answer,train
TOTAL,question,train
ILLUMINATED,question,train
REGULAR,question,train
D.E.C,question,train
S.P.V.,question,train
534.1,answer,train
SIGNATURE,question,train
DATE,question,train
,answer,train
ATT.,other,train
527.6,answer,train
"LAURENCE, CHARLES, FREE & LAWSON, INC.",header,train
"260 MADISON AVENUE, NEW YORK, NY 10016 (212) 213- 4646",other,train
30- SHEET POSTING COMPLETION REPORT FORM,header,train
PLEASE RETURN TWO (2) COPIES OF THE LOCATION LIST ALONG WITH TWO (2) COPIES OF THIS COMPLETION REPORT FORM TO THE ATTENTION OF MR. JOSEPH VAZQUEZ AT THE ABOVE ADDRESS,other,train
A- 530- 1059,answer,train
THE AMERICAN TOBACCO COMPANY,answer,train
PALL MALL RED LIGHTS,answer,train
BRAND NAME:,question,train
Akron OH.,answer,train
"Patrick Media Group, Inc",answer,train
F 75 GRP,answer,train
PLANT OPERATOR:,question,train
SIZE SHOWING:,question,train
NUMBER OF PANELS,header,train
PLANT AVERAGE,question,train
PLANT AVERAGE,question,train
DATE POSTERS RECEIVED FROM LITHOGRAPHER:,question,train
6/ 27/ 89,answer,train
POSTER DESIGN:,question,train
THE TASTE BREAKS THROUGH,answer,train
SCHEDULED POSTING DATE:,question,train
7/ 16/ 89,answer,train
7/ 21/ 89,answer,train
DATE POSTING COMPLETED:,question,train
"THIS WILL CERTIFY THAT I HAVE EXAMINED THE RECORDS OF OUR BILLPOSTERS, AND VERIFY THAT ALL LOCATIONS LISTED ON THE ATTACHED LOCATION LIST WERE PROPERLY POSTED WITH THE CORRECT DESIGN WITHIN FIVE WORKING DAYS OF THE POSTING DATE ACCEPTED ON THE CONTRACT",other,train
Plant Manager/ Posting Supt,question,train
2/ 25/ 89,answer,train
Report,question,train
517,answer,train
ACCEPTED,question,train
XX,answer,train
REJECTED,question,train
Date,question,train
Supplier,question,train
Comments:,question,train
Distribution:,question,train
6926,answer,train
Telephone#,question,train
,answer,train
By,question,train
No,question,train
436,answer,train
505991060,other,train
Material Tested,question,train
P- 830 GLASS FIBER,answer,train
10- NOV- 1986,answer,train
OWENS CORNING,answer,train
2 ROLLS,answer,train
Quantity Received,question,train
Lot or Sample#,question,train
ROLL 34 & 35,answer,train
11- 6- 86,answer,train
Date Received,question,train
Following physical/ visual properties out of specifications:,question,train
WEIGHT OUT OF,answer,train
SPECIFICATIONS ON ROLLS 34 & 35. WT. AV. ROLL 34 (183. 04) ; WT. AV. ROLL 35 (183. 44) : SPECS. 190 -210 GMS/ SQM. LOI OUT DE SPEC. ON ROLL 34 (AV 2. 49%) SPECIFICATIONS (2.6 6- 3. 1% .,answer,train
Kwb Kenneth W. Smits Technologist - QA,other,train
"Mr. Lucien L. Bass, III",answer,train
Dr. L. H. O' Conner,answer,train
Mr. L. W. Peterson,answer,train
Mr. W. B. Scantland,answer,train
Ms. R. deLacy,answer,train
Mr. M. D. Shannon,answer,train
Mr. R. L. McGee,answer,train
RJR SECRET ADDRESSED ONLY,other,train
Date:,question,train
Contact:,question,train
Agency:,question,train
Address:,question,train
Client:,question,train
Products:,question,train
20,answer,train
30,answer,train
60,answer,train
20,answer,train
30,answer,train
60,answer,train
AMERICAN BROADCASTING COMPANY TELEVISION NETWORK,header,train
"1330 Avenue of the Americas, New York, New York 10019 LT - 7777",other,train
"October 9, 1968",answer,train
Mr. Mary Goldsmith,answer,train
BBDO Inc.,answer,train
383 Madison Avenue New York 10017,answer,train
American Tobacco Co.,answer,train
Tareyton Cigarettes,answer,train
Script(s) (and/ or story board(s)) cleared:,header,train
Phone Booth :,question,train
Phone Booth :,question,train
Phone Booth :,question,train
ECU :,question,train
ECU :,question,train
ECU :,question,train
THESE COMMERCIALS CANNOT BE SCHEDULED UNTIL THIS DEPARTMENT HAS BEEN NOTIFIED OF THEIR CODE NUMBERS.,other,train
PLEASE NOTIFY THIS DEPARTMENT OF ANY CHANGES THE CODE NUMBER(S).,other,train
"Final approval is, of course, dependent upon our screening the finished film(s), and upon time and placement of the commercial(s).",other,train
XER. 257/ REV 6/ 68,other,train
JP/ gb,other,train
Sincerely. American Broadcasting Company Judse Price Department of BROADCAST STANDARDS AND PRACTICES,other,train
Telephone:,question,train
TELEPHONE,question,train
AME,question,train
AFFILLATION,question,train
DDRESS,question,train
TELEPHONE,question,train
AFFILIATION,question,train
AME,question,train
DDRESS,question,train
Position,question,train
resider,question,train
Affiliation,question,train
Affiliation,question,train
Position,question,train
Position,question,train
Affiliation,question,train
Topic.,question,train
Affiliation,question,train
Topic,question,train
Position,question,train
Position,question,train
Position,question,train
Affiliation,question,train
Tοpic,question,train
Affiliation,question,train
Topic,question,train
,other,train
,other,train
,other,train
,other,train
Professor,answer,train
Professor,answer,train
Professor,answer,train
Cytogeneticist,answer,train
Topic,question,train
Annual Meeting Los Angeles,header,train
26- 31 May 1983,other,train
ACCEPTED SYMPOSIUM,question,train
Preliminary Program Information,other,train
Submit not later than 1 November,other,train
Return this form to:,question,train
"AAAS Meetings Office 1101 Vermont Ave., N W. Washington, D. C. 20005",answer,train
(202) 842- 9530,answer,train
READ REVERSE SIDE BEFORE FILLING OUT THIS FORM,header,train
202/ 457- 4850,answer,train
RINCIPAL ORGANIZER (who will receive correspondence):,question,train
Marvin A Kastenbaum,answer,train
"1825 Eye Street, NW Suite 800",answer,train
"CITY STATE, ",question,train
Washington DC 20006,answer,train
,other,train
O ORGANIZER (if applicable):,question,train
"CITY, STATE, ZIP",question,train
INAL TITLE OF SYMPOSIUM,question,train
FOR ONE SESSION,header,train
THE HUMAN CHROMOSOME,answer,train
Dr. William J. Schull,answer,train
Director - Genetics Centers,answer,train
Univ. of Texas Graduate School of Biomedical Sciences (Houston),answer,train
- Speaker,question,train
Dr. Jorge J. Yunis,answer,train
Univ. of Minnesota School of Medicine,answer,train
"The Oncogene, the Fragile Site, and Nonrandom Aberrations",answer,train
- Speaker,question,train
Dr. Sheldon Wolff,answer,train
Chairman - Professor of Cytogenetic,answer,train
Laborat. Radiobiology& Environmental Health - U. of Cal. San Francis,answer,train
Sister- -Chromatid Exchanges,answer,train
- Speaker,question,train
Dr. Patricia Jacobs,answer,train
University of Hawai - Dept. of Anatomy,answer,train
Abnormal Human Chromosome Complements,answer,train
Dr. Raymond White,answer,train
- Speaker,question,train
University of Utah,answer,train
Human Linkage Map based on DNA Markers,answer,train
- Speaker,question,train
Dr. Michael A. Bender,answer,train
Brookhaven National Laboratory - Medical Department,answer,train
Cyrogeneric Epidemiology,answer,train
See Reverse Side,other,train
1987,answer,train
MALIBU,answer,train
,question,train
,answer,train
NONMENTHOL:,question,train
(1),other,train
FILTER,question,train
MENTHOL:,question,train
"""TAR"":",question,train
-,question,train
-,question,train
-,question,train
-,question,train
-,question,train
94,answer,train
NICOTINE:,question,train
34,answer,train
0,answer,train
38,answer,train
1,answer,train
20,answer,train
1,answer,train
(2),other,train
(3),other,train
(4),other,train
(5),other,train
(6),other,train
(7),other,train
(8),other,train
(9),other,train
(10),other,train
(11),other,train
(12),other,train
(13),other,train
(14),other,train
(15),other,train
(16),other,train
(17),other,train
(18),other,train
(19),other,train
(20),other,train
(21),other,train
(22),other,train
(23),other,train
(24),other,train
(25),other,train
(26),other,train
CIGARETTE REPORT FORM,header,train
YEAR COVERED:,question,train
BRAND FAMILY NAME:,question,train
VARIETY DESCRIPTION:,question,train
"King Size, Filter",answer,train
PRODUCT LENGTH:,question,train
King Size,answer,train
(check one),answer,train
X (check one),answer,train
X (check one),answer,train
SOFT PACK:,question,train
HARD PACK:,question,train
PACK SIZE SOLD:,question,train
20' s,answer,train
16 mg,answer,train
1. 3 mg (Appendix C),answer,train
VARIETY UNIT SALES:,question,train
"1, 800",answer,train
"59, 791",answer,train
VARIETY DOLLAR SALES:,question,train
FIRST SALES DATE:,question,train
10/ 26/ 87,answer,train
LAST SALES DATE:,question,train
REPORTABLE EXPENDITURES (In Thousands),header,train
CAT- A - EXPENSES:,question,train
CAT - - EXPENSES:,question,train
CAT - C - EXPENSES:,question,train
CAT - D - EXPENSES:,question,train
CAT E - EXPENSES:,question,train
CAT - F - EXPENSES:,question,train
CAT - G EXPENSES:,question,train
CAT H - EXPENSES:,question,train
CAT I - EXPENSES:,question,train
CAT - J - EXPENSES:,question,train
CAT - K - EXPENSES:,question,train
CAT - L - EXPENSES:,question,train
CAT - M EXPENSES:,question,train
TOTAL REPORTABLE EXPENDITURES FOR VARIETYI:,question,train
